Date,New Cases,New Deaths
"Jan 1, 2022",70855,257
"Jan 1, 2022",129233,1991
"Jan 1, 2022",129233,1997
"Jan 1, 2022",133991,2033
"Jan 1, 2022",156659,2282
"Jan 1, 2022",158507,2316
"Jan 1, 2022",158794,2329
"Jan 1, 2022",210011,2376
"Jan 1, 2022",210011,2376
"Jan 1, 2022",234638,2450
"Jan 1, 2022",259889,2514
"Jan 1, 2022",261728,2517
"Jan 1, 2022",264202,2523
"Jan 1, 2022",460236,2787
"Jan 1, 2022",460236,2787
"Jan 1, 2022",605319,2933
"Jan 1, 2022",646859,2971
"Jan 1, 2022",670048,2980
"Jan 1, 2022",678268,3105
"Jan 1, 2022",958691,3441
"Jan 1, 2022",964239,3459
"Jan 1, 2022",1002854,3502
"Jan 1, 2022",1016751,3553
"Jan 1, 2022",1047443,3600
"Jan 1, 2022",1082758,3667
"Jan 1, 2022",1174208,3798
"Jan 1, 2022",1176916,3817
"Jan 1, 2022",1176916,3817
"Jan 1, 2022",1179761,3864
"Jan 1, 2022",1182329,3870
"Jan 1, 2022",1184449,3872
"Jan 2, 2022",48358,201
"Jan 2, 2022",95502,1294
"Jan 2, 2022",115908,1550
"Jan 2, 2022",116655,1552
"Jan 2, 2022",119305,1555
"Jan 2, 2022",120815,1596
"Jan 2, 2022",130280,1613
"Jan 2, 2022",130857,1627
"Jan 2, 2022",148414,1635
"Jan 2, 2022",152225,1678
"Jan 2, 2022",153852,1702
"Jan 2, 2022",183563,1777
"Jan 2, 2022",186147,1792
"Jan 2, 2022",388559,2019
"Jan 2, 2022",389325,2022
"Jan 2, 2022",426891,2078
"Jan 2, 2022",442202,2156
"Jan 2, 2022",546527,2448
"Jan 2, 2022",546956,2448
"Jan 2, 2022",566491,2496
"Jan 2, 2022",570486,2496
"Jan 2, 2022",571153,2497
"Jan 2, 2022",571153,2497
"Jan 2, 2022",694312,2561
"Jan 2, 2022",694312,2561
"Jan 2, 2022",726487,2624
"Jan 2, 2022",794520,2784
"Jan 2, 2022",800464,2872
"Jan 2, 2022",817830,2895
"Jan 2, 2022",823362,2949
"Jan 2, 2022",42658,80
"Jan 3, 2022",45124,104
"Jan 3, 2022",111517,1479
"Jan 3, 2022",111517,1480
"Jan 3, 2022",122426,1594
"Jan 3, 2022",143225,1631
"Jan 3, 2022",153517,1646
"Jan 3, 2022",160652,1653
"Jan 3, 2022",182665,1889
"Jan 3, 2022",187937,1919
"Jan 3, 2022",190702,1946
"Jan 3, 2022",201256,1956
"Jan 3, 2022",239336,2043
"Jan 3, 2022",310867,2223
"Jan 3, 2022",343794,2259
"Jan 3, 2022",344838,2261
"Jan 3, 2022",502596,2303
"Jan 3, 2022",519276,2456
"Jan 3, 2022",647037,3007
"Jan 3, 2022",682031,3143
"Jan 3, 2022",815906,3202
"Jan 3, 2022",849750,3305
"Jan 3, 2022",858998,3332
"Jan 3, 2022",892669,3397
"Jan 3, 2022",950227,3432
"Jan 3, 2022",1025715,3568
"Jan 3, 2022",1070160,3662
"Jan 3, 2022",1081907,3731
"Jan 3, 2022",1160313,3937
"Jan 3, 2022",1183739,4017
"Jan 3, 2022",1238683,4100
"Jan 3, 2022",1262144,4140
"Jan 4, 2022",71832,154
"Jan 4, 2022",155191,1901
"Jan 4, 2022",157223,1907
"Jan 4, 2022",167139,2007
"Jan 4, 2022",174982,2054
"Jan 4, 2022",192515,2060
"Jan 4, 2022",215887,2075
"Jan 4, 2022",234340,2215
"Jan 4, 2022",234340,2215
"Jan 4, 2022",259266,2268
"Jan 4, 2022",287692,2285
"Jan 4, 2022",291991,2290
"Jan 4, 2022",291991,2290
"Jan 4, 2022",573354,2480
"Jan 4, 2022",744198,2702
"Jan 4, 2022",851424,3054
"Jan 4, 2022",878236,3068
"Jan 4, 2022",878236,3068
"Jan 4, 2022",1071551,3615
"Jan 4, 2022",1403648,4299
"Jan 4, 2022",1494368,4917
"Jan 4, 2022",1540617,5013
"Jan 4, 2022",1550416,5073
"Jan 4, 2022",1707757,5313
"Jan 4, 2022",1897056,5599
"Jan 4, 2022",1933888,5710
"Jan 4, 2022",1983537,5830
"Jan 4, 2022",2048548,5994
"Jan 4, 2022",2080841,6063
"Jan 4, 2022",2105687,6309
"Jan 4, 2022",2108598,6323
"Jan 5, 2022",107355,258
"Jan 5, 2022",216548,2343
"Jan 5, 2022",239927,2588
"Jan 5, 2022",243339,2635
"Jan 5, 2022",249124,2662
