Date,New Deaths
"Jan 1, 2023",18.0
"Jan 2, 2023",37.0
"Jan 3, 2023",104.0
"Jan 4, 2023",331.0
"Jan 5, 2023",217.0
"Jan 6, 2023",201.0
"Jan 7, 2023",30.0
"Jan 8, 2023",8.0
"Jan 9, 2023",116.0
"Jan 10, 2023",274.0
"Jan 11, 2023",352.0
"Jan 12, 2023",253.0
"Jan 13, 2023",185.0
"Jan 14, 2023",41.0
"Jan 15, 2023",2.0
"Jan 16, 2023",4.0
"Jan 17, 2023",72.0
"Jan 18, 2023",319.0
"Jan 19, 2023",167.0
"Jan 20, 2023",164.0
"Jan 21, 2023",21.0
"Jan 22, 2023",6.0
"Jan 23, 2023",104.0
"Jan 24, 2023",194.0
"Jan 25, 2023",249.0
"Jan 26, 2023",145.0
"Jan 27, 2023",104.0
"Jan 28, 2023",18.0
"Jan 29, 2023",2.0
"Jan 30, 2023",88.0
"Jan 31, 2023",164.0
"Feb 1, 2023",193.0
"Feb 2, 2023",168.0
"Feb 3, 2023",90.0
"Feb 4, 2023",29.0
"Feb 5, 2023",14.0
